Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",29.822425,-16.242103,-90.000000,top
"C2",".1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",36.059468,-33.685044,0.000000,top
"C3","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",33.020000,-17.780000,90.000000,top
"D1","1 amp","D_SOD-123F",24.803638,-15.239999,180.000000,top
"D2","5.1 v","D_SOD-123",21.590000,-38.100000,90.000000,top
"J1","I/O Connector","PinHeader_2x03_P2.54mm_Vertical",17.775000,-15.255000,0.000000,top
"J2","ISP Prog","PinHeader_2x03_P2.54mm_Vertical",17.775000,-27.955000,0.000000,top
"J3","LCD  Conn","PinHeader_1x04_P2.54mm_Vertical",34.280000,-45.720000,-90.000000,top
"Q1","PHB21N06LT,118","TO-263-2",49.020701,-34.647932,0.000000,top
"R1","10M","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",39.370000,-33.020000,-90.000000,top
"R2","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",34.290000,-28.852500,90.000000,top
"R3","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",25.400000,-29.210000,-90.000000,top
"U1","ATtiny85-20S","SOIC-8W_5.3x5.3mm_P1.27mm",29.210000,-35.560000,0.000000,top
"U2","LM1085-5.0","TO-263-3_TabPin2",46.040000,-18.015000,0.000000,top
